ts,date,time,lat,lon
1767484563000,Sunday 04-Jan-26,10:56 AM,-37.820431491205255,145.24601456280905
1767489858000,Sunday 04-Jan-26,12:24 PM,-37.82040346062141,145.2460501348216
1767494994000,Sunday 04-Jan-26,01:49 PM,-37.82043504538031,145.24601663473513
1767495817000,Sunday 04-Jan-26,02:03 PM,-37.82031705083666,145.24610632886748
1767498239000,Sunday 04-Jan-26,02:43 PM,-37.82037704070595,145.24607498596697
1767500081000,Sunday 04-Jan-26,03:14 PM,-37.82042370174202,145.246028409559
1767501021000,Sunday 04-Jan-26,03:30 PM,-37.82041468077785,145.24603739918993
1767501021000,Sunday 04-Jan-26,03:30 PM,-37.82033439661315,145.24611740437035
1767505268000,Sunday 04-Jan-26,04:41 PM,-37.820233030910764,145.24616127097144
1767505268000,Sunday 04-Jan-26,04:41 PM,-37.820049831068026,145.2462817871025
1767506433000,Sunday 04-Jan-26,05:00 PM,-37.82038536066636,145.2460703014212
1767506699000,Sunday 04-Jan-26,05:04 PM,-37.820087289693085,145.24629101232628
1767507174000,Sunday 04-Jan-26,05:12 PM,-37.820204909857466,145.24618679718463
1767507560000,Sunday 04-Jan-26,05:19 PM,-37.82037238513945,145.24608846540642
1767510590000,Sunday 04-Jan-26,06:09 PM,-37.820247117735605,145.24618676819756
1767511959000,Sunday 04-Jan-26,06:32 PM,-37.81852906479751,145.24272883050966
1767529766000,Sunday 04-Jan-26,11:29 PM,-37.820663857783586,145.24615197096867
1767530437000,Sunday 04-Jan-26,11:40 PM,-37.82068405904567,145.2461585390845
1767531636000,Monday 05-Jan-26,12:00 AM,-37.82049231739776,145.246056420998
1767532236000,Monday 05-Jan-26,12:10 AM,-37.820379315817966,145.2461024920813
1767532848000,Monday 05-Jan-26,12:20 AM,-37.8204186606759,145.24604733624784
1767534238000,Monday 05-Jan-26,12:43 AM,-37.82042210495692,145.2460396675424
1767534906000,Monday 05-Jan-26,12:55 AM,-37.82042283890621,145.24604036530957
1767535746000,Monday 05-Jan-26,01:09 AM,-37.82117631275852,145.24682433554264
1767537145000,Monday 05-Jan-26,01:32 AM,-37.820429816092904,145.24601761398515
1767537386000,Monday 05-Jan-26,01:36 AM,-37.82086361946913,145.2460648387525
1767538387000,Monday 05-Jan-26,01:53 AM,-37.82060511801717,145.24599985414713
1767538387000,Monday 05-Jan-26,01:53 AM,-37.82042286441828,145.24603654915384
1767539060000,Monday 05-Jan-26,02:04 AM,-37.82042286441828,145.24603654915384
1767541361000,Monday 05-Jan-26,02:42 AM,-37.82042560003584,145.24602531655967
1767542126000,Monday 05-Jan-26,02:55 AM,-37.820426957184644,145.24601974403112
1767543162000,Monday 05-Jan-26,03:12 AM,-37.820426957184644,145.24601974403112
1767543737000,Monday 05-Jan-26,03:22 AM,-37.82043363851582,145.24599231009432
1767545001000,Monday 05-Jan-26,03:43 AM,-37.82043062291258,145.24600469234156
1767545900000,Monday 05-Jan-26,03:58 AM,-37.82043062291258,145.24600469234156
1767546167000,Monday 05-Jan-26,04:02 AM,-37.82043363851582,145.24599231009435
1767547426000,Monday 05-Jan-26,04:23 AM,-37.82042851438983,145.24601335005835
1767547426000,Monday 05-Jan-26,04:23 AM,-37.82046960776133,145.24601643196118
1767549266000,Monday 05-Jan-26,04:54 AM,-37.82042876837979,145.2460062873024
1767549266000,Monday 05-Jan-26,04:54 AM,-37.8204288747206,145.24600435752225
1767549266000,Monday 05-Jan-26,04:54 AM,-37.82042528459059,145.24599859990008
1767553672000,Monday 05-Jan-26,06:07 AM,-37.82042626782535,145.24602257457894
1767562142000,Monday 05-Jan-26,08:29 AM,-37.82042594609015,145.24598847096004
1767564136000,Monday 05-Jan-26,09:02 AM,-37.82042528389628,145.24599062796557
1767564136000,Monday 05-Jan-26,09:02 AM,-37.82043428291203,145.24600634628328
1767564140000,Monday 05-Jan-26,09:02 AM,-37.82042572529421,145.24599237451386
1767564140000,Monday 05-Jan-26,09:02 AM,-37.820426173350924,145.2459935014053
1767564140000,Monday 05-Jan-26,09:02 AM,-37.82043501196832,145.24602205513665
1767574490000,Monday 05-Jan-26,11:54 AM,-37.82042890653645,145.2460096793915
1767574490000,Monday 05-Jan-26,11:54 AM,-37.820426453345625,145.24602166795523
1767576095000,Monday 05-Jan-26,12:21 PM,-37.82043261183566,145.2460448787775
1767579298000,Monday 05-Jan-26,01:14 PM,-37.82043945470117,145.2460485877069
1767581114000,Monday 05-Jan-26,01:45 PM,-37.820429379929486,145.24601789585734
1767582888000,Monday 05-Jan-26,02:14 PM,-37.82043115494933,145.2460278355381
1767584311000,Monday 05-Jan-26,02:38 PM,-37.82042451117277,145.246022923489
1767584311000,Monday 05-Jan-26,02:38 PM,-37.8203953707321,145.24606312225202
1767595924000,Monday 05-Jan-26,05:52 PM,-37.82043151975649,145.24603520542547
1767633720000,Tuesday 06-Jan-26,04:22 AM,-37.82006309999999,145.2445027
1767635060000,Tuesday 06-Jan-26,04:44 AM,-37.82045899442608,145.24607438016082
1767646171000,Tuesday 06-Jan-26,07:49 AM,-37.82042358974434,145.2460428083515
1767646185000,Tuesday 06-Jan-26,07:49 AM,-37.82045286275422,145.24606960855746
1767649491000,Tuesday 06-Jan-26,08:44 AM,-37.82044848433492,145.2460638746432
1767649491000,Tuesday 06-Jan-26,08:44 AM,-37.820430299117376,145.2460247796342
1767655099000,Tuesday 06-Jan-26,10:18 AM,-37.82044660414886,145.24605960174537
1767655099000,Tuesday 06-Jan-26,10:18 AM,-37.82042997982101,145.24602810670453
1767655391000,Tuesday 06-Jan-26,10:23 AM,-37.820498842677786,145.24600841109583
1767663920000,Tuesday 06-Jan-26,12:45 PM,-37.82049171999171,145.24600912640105
1767668404000,Tuesday 06-Jan-26,02:00 PM,-37.82044550233553,145.24605860446434
